Episode,Steps,Total Reward,Epsilon,TD Error
0,3,-0.87,0.997,0.0
1,4,-0.72,0.994009,0.0
2,1,-0.75,0.991026973,0.0
3,25,-1.08,0.988053892081,0.0015754836052656173
4,2,-0.87,0.985089730404757,0.022135193459689617
5,8,-0.8999999999999999,0.9821344612135428,0.02047841507010162
6,8,-1.1400000000000001,0.9791880578299021,0.018665687064640224
7,5,-0.81,0.9762504936564125,0.022893201932311057
8,9,-0.99,0.9733217421754432,0.016991831465727754
9,1,-0.75,0.9704017769489168,0.02471390925347805
10,4,-0.81,0.9674905716180701,0.020794924348592758
11,2,-0.72,0.9645880999032158,0.020180233754217625
12,3,-0.84,0.9616943356035061,0.012993138283491135
13,3,-0.99,0.9588092525966956,0.015550912047425905
14,3,-0.84,0.9559328248389055,0.01539116973678271
15,4,-0.96,0.9530650263643888,0.01916068629361689
16,2,-0.87,0.9502058312852957,0.016661785077303648
17,5,-0.66,0.9473552137914398,0.017910302989184855
18,10,-1.08,0.9445131481500655,0.016244744788855313
19,6,-1.05,0.9416796087056153,0.011252037482336164
20,1,-0.75,0.9388545698794984,0.016970638185739517
21,3,-0.87,0.93603800616986,0.015739346543947857
22,8,-1.32,0.9332298921513504,0.01337801176123321
23,2,-0.72,0.9304302024748964,0.016973362304270267
24,4,-0.66,0.9276389118674717,0.010502013145014644
25,25,-2.0100000000000002,0.9248559951318693,0.012714387523010373
26,2,-0.87,0.9220814271464737,0.010525994468480349
27,1,-0.75,0.9193151828650342,0.014414757490158081
28,3,-0.99,0.9165572373164391,0.00846463410804669
29,10,-1.08,0.9138075656044898,0.009930921625345946
30,19,-1.86,0.9110661429076764,0.007289815994322692
31,6,-0.9,0.9083329444789534,0.008801613856727878
32,2,-0.72,0.9056079456455165,0.009882637299597263
33,5,-1.23,0.90289112180858,0.008425223641097546
34,1,-0.75,0.9001824484431542,0.007672333624213934
35,1,-0.75,0.8974819010978248,0.0013003131607547402
36,1,-0.75,0.8947894553945313,0.00843811221420765
37,1,-0.75,0.8921050870283477,0.0079850684851408
38,1,-0.75,0.8894287717672626,0.008025942370295525
39,11,-0.9299999999999999,0.8867604854519608,0.005630763591563498
40,5,-0.93,0.884100203995605,0.004240876156836748
41,4,-0.66,0.8814479033836181,0.009219955885782838
42,1,-0.75,0.8788035596734672,0.008710450492799282
43,8,-0.99,0.8761671489944468,0.006268849057960324
44,19,-1.71,0.8735386475474635,0.00434398125415962
45,6,-0.75,0.8709180316048211,0.004752109933178872
46,23,-1.9200000000000002,0.8683052775100066,0.004851194665483807
47,1,-0.75,0.8657003616774767,0.010598758235573769
48,5,-1.08,0.8631032605924442,0.004298830591142178
49,1,-0.75,0.860513950810667,0.003709208918735385
50,1,-0.75,0.857932408958235,0.003282274352386594
51,5,-0.78,0.8553586117313603,0.006858640571590513
52,58,-4.170000000000004,0.8527925358961662,0.0037854600252166136
53,4,-0.66,0.8502341582884777,0.0036359837249619886
54,8,-0.99,0.8476834558136123,0.0030109424078546
55,13,-1.5899999999999999,0.8451404054461714,0.0020654885761009958
56,2,-0.72,0.8426049842298329,0.0017261974280700088
57,1,-0.75,0.8400771692771434,0.002518353285267949
58,8,-0.5700000000000001,0.837556937769312,0.0030395581270568073
59,8,-0.99,0.835044266956004,0.0020519588360912167
60,4,-0.81,0.8325391341551359,0.0033147855720017105
61,2,-0.72,0.8300415167526705,0.0010930863791145384
62,6,-1.05,0.8275513922024125,0.004903318632083635
63,7,-1.17,0.8250687380258053,0.003605339875710862
64,6,-0.9,0.8225935318117279,0.003355631633894518
65,3,-0.84,0.8201257512162927,0.002384328360979756
66,8,-0.99,0.8176653739626438,0.0025013212507474236
67,2,-0.72,0.8152123778407558,0.007100261747837067
68,4,-0.81,0.8127667407072335,0.003842216814518906
69,4,-1.11,0.8103284404851119,0.0015532842662651092
70,7,-1.17,0.8078974551636565,0.004227392708084413
71,1,-0.75,0.8054737627981655,0.0006575320148840547
72,7,-0.87,0.803057341509771,0.0027397684170864522
73,12,-1.3199999999999998,0.8006481694852418,0.002776843282238891
74,15,-1.38,0.798246224976786,0.0015792488411534578
75,3,-0.84,0.7958514863018556,0.0023371276135245958
76,3,-0.84,0.79346393184295,0.0016758630711895723
77,9,-1.26,0.7910835400474212,0.0009932769591816598
78,7,-0.87,0.7887102894272789,0.0026383085891471376
79,1,-0.75,0.7863441585589971,0.0011873641051352024
80,16,-1.2,0.78398512608332,0.0010500933658477152
81,1,-0.75,0.7816331707050701,0.0005408854922279716
82,2,-0.87,0.7792882711929549,0.0023024758556857705
83,4,-0.81,0.776950406379376,0.0019785395124927163
84,14,-1.41,0.7746195551602378,0.001579213741933927
85,2,-0.87,0.7722956964947572,0.002155631285859272
86,19,-1.71,0.7699788094052729,0.0008693836617136472
87,8,-0.99,0.767668872977057,0.0011564961168915033
88,8,-0.99,0.7653658663581259,0.0008589568424213212
89,15,-1.38,0.7630697687590515,0.0005979341745842248
90,1,-0.75,0.7607805594527743,0.0027268037665635347
91,10,-1.23,0.7584982177744161,0.0013885826701880433
92,18,-1.5899999999999999,0.7562227231210928,0.0004487504480089734
93,7,-1.02,0.7539540549517295,0.0006162084339718733
94,15,-1.53,0.7516921927868743,0.00048455543292220683
95,4,-0.81,0.7494371162085136,0.0009979401802411303
96,21,-2.1000000000000005,0.747188804859888,0.00031335984281862954
97,3,-0.84,0.7449472384453084,0.0002249817189294845
98,1,-0.75,0.7427123967299725,8.351088763447478e-05
99,5,-0.78,0.7404842595397826,0.00030773329635849225
100,8,-0.99,0.7382628067611632,0.00034083940226992127
101,2,-0.87,0.7360480183408797,0.0008168632630258799
102,2,-0.87,0.7338398742858571,0.0013614395138574764
103,7,-1.02,0.7316383546629995,0.0010671535856090486
104,10,-1.23,0.7294434395990105,0.00044953641190659255
105,1,-0.75,0.7272551092802134,0.00021416631352622062
106,24,-2.3100000000000005,0.7250733439523728,0.00042983610728697386
107,1,-0.75,0.7228981239205157,0.00013187012518756092
108,1,-0.75,0.7207294295487541,0.00024532503448426723
109,8,-1.1400000000000001,0.7185672412601078,0.00021156572256586514
110,19,-1.56,0.7164115395363275,0.00018375623403699137
111,8,-0.8400000000000001,0.7142623049177186,0.0009894355898723006
112,1,-0.75,0.7121195180029655,0.0004456221067812294
113,6,-0.75,0.7099831594489566,0.0007295357160425434
114,4,-0.96,0.7078532099706097,0.00025076852762140334
115,1,-0.75,0.7057296503406979,0.0019268743926659226
116,20,-1.9800000000000002,0.7036124613896758,0.0004098550689377589
117,18,-1.44,0.7015016240055068,0.0002838157941166881
118,18,-1.17,0.6993971191334902,0.0004527475927413131
119,2,-0.72,0.6972989277760897,7.042766810627654e-05
120,2,-0.72,0.6952070309927615,0.0001249089982593432
121,59,-4.140000000000004,0.6931214098997832,0.0004017170554646528
122,2,-0.72,0.6910420456700839,0.00020802604558411986
123,8,-0.99,0.6889689195330736,0.0002304440995430923
124,2,-0.72,0.6869020127744744,0.000602323591010645
125,8,-0.99,0.684841306736151,0.00017831620152719552
126,8,-0.6900000000000001,0.6827867828159425,0.00020466142541408772
127,10,-1.08,0.6807384224674947,0.00014334812367451378
128,4,-0.81,0.6786962072000923,0.00038782088086009026
129,1,-0.75,0.676660118578492,0.00015050456568133086
130,1,-0.75,0.6746301382227565,0.00030248210532590747
131,5,-0.78,0.6726062478080883,0.0007447687268722803
132,16,-1.3499999999999999,0.6705884290646641,0.0003041746704184334
133,4,-0.96,0.66857666377747,0.00021972841113893082
134,3,-0.84,0.6665709337861376,0.00015431840680927658
135,2,-0.72,0.6645712209847792,0.0015616133823641576
136,6,-0.75,0.6625775073218249,0.0003094734965998214
137,41,-2.850000000000001,0.6605897747998594,0.00023442531328771843
138,14,-1.74,0.6586080054754598,0.00023685405072423497
139,12,-1.02,0.6566321814590335,0.0004235547276039142
140,5,-0.78,0.6546622849146564,0.0002933138646767475
141,4,-0.81,0.6526982980599124,0.00038421430144808255
142,5,-0.78,0.6507402031657327,0.0002547293290263042
143,3,-0.69,0.6487879825562355,0.00044043140951544046
144,2,-0.72,0.6468416186085668,0.00035370098339626566
145,12,-1.17,0.6449010937527411,0.00047921542257730226
146,1,-0.75,0.6429663904714829,0.0005520172417163849
147,1,-0.75,0.6410374913000684,0.0003093580307904631
148,1,-0.75,0.6391143788261682,0.0002469755127094686
149,5,-0.78,0.6371970356896897,0.00016648143209749833
150,12,-1.02,0.6352854445826206,0.00030345898236798047
151,10,-1.38,0.6333795882488727,0.0002934882169938646
152,10,-0.96,0.6314794494841262,0.00046221625307225623
153,1,-0.75,0.6295850111356738,0.00012282593525014818
154,2,-0.87,0.6276962561022668,9.072364628082141e-05
155,4,-0.66,0.62581316733396,0.0010295172087353421
156,16,-1.5,0.623935727831958,0.0003078109102716553
157,8,-1.1400000000000001,0.6220639206484622,0.0003817908673227066
158,10,-0.93,0.6201977288865168,0.0002028107403930335
159,15,-1.08,0.6183371356998573,0.00011187624149897602
160,5,-0.78,0.6164821242927577,0.00012573470448842272
161,6,-0.75,0.6146326779198794,0.000809360557468608
162,12,-0.72,0.6127887798861198,0.0005820779212323638
163,14,-1.11,0.6109504135464614,0.00033315069335263355
164,8,-0.8400000000000001,0.609117562305822,0.00021933096286375076
165,5,-1.08,0.6072902096189046,0.0003998393178335391
166,11,-0.9,0.6054683389900478,0.0004876904210753062
167,6,-0.75,0.6036519339730777,0.0001861777179025618
168,7,-0.72,0.6018409781711584,0.0005310714675163451
169,7,-0.87,0.6000354552366449,0.00011418391997202499
170,8,-0.6900000000000001,0.598235348870935,8.319509629473032e-05
171,2,-0.72,0.5964406428243222,0.0002205391792813316
172,2,-0.72,0.5946513208958493,0.00021778402879135683
173,11,-1.2000000000000002,0.5928673669331617,0.0002517738572681661
174,1,-0.75,0.5910887648323622,0.00014314966392703354
175,4,-0.66,0.5893154985378651,0.00031967618269845843
176,7,-0.87,0.5875475520422515,0.0002904894333499085
177,1,-0.75,0.5857849093861247,0.0010766398627310991
178,1,-0.75,0.5840275546579663,0.0005189366056583822
179,13,-0.99,0.5822754719939924,0.0005704617576087073
180,9,-1.1099999999999999,0.5805286455780104,0.0002965548810607288
181,13,-0.8400000000000001,0.5787870596412764,0.0005368716273761282
182,2,-0.72,0.5770506984623526,0.0005455976497614756
183,21,-1.35,0.5753195463669655,0.00023894247732685124
184,4,-0.81,0.5735935877278646,0.0010738881464931183
185,19,4.79,0.571872806964681,0.0003652712163640995
186,24,-2.01,0.5701571885437869,0.0002792223394862958
187,2,-0.72,0.5684467169781556,0.0001271321889362298
188,5,-0.78,0.5667413768272211,0.0001485953587689437
189,15,-0.96,0.5650411526967395,0.00014043980578814323
190,22,-1.1700000000000002,0.5633460292386493,0.008096860074808566
191,14,-1.2599999999999998,0.5616559911509333,0.0006184294470585883
192,2,-0.72,0.5599710231774805,0.0008976952522061765
193,16,4.85,0.5582911101079481,0.00045834555703549995
194,19,-0.9600000000000001,0.5566162367776242,0.00037664367693268056
195,11,-1.05,0.5549463880672914,0.00041843740473268554
196,6,-0.75,0.5532815489030894,0.00016533604199745847
197,10,-1.23,0.5516217042563801,0.015840994813333963
198,8,-1.1400000000000001,0.549966839143611,0.0005839367277076235
199,11,5.15,0.5483169386261801,0.0135724648227386
200,9,-1.26,0.5466719878103016,0.00027298584205305413
201,5,-0.78,0.5450319718468707,0.0006267270364332944
202,18,-1.0799999999999998,0.5433968759313301,0.02281787667096877
203,13,-1.5899999999999999,0.5417666853035361,0.0003652303768411422
204,9,-0.66,0.5401413852476254,0.0005207599735715323
205,3,-0.99,0.5385209610918825,0.0010500104690436274
206,8,-0.54,0.5369053982086068,0.030218312534998404
207,18,-1.1400000000000001,0.535294682013981,0.02474714639942653
208,12,-1.17,0.5336887979679391,0.008625547343399376
209,6,-0.75,0.5320877315740353,0.0009402339783264324
210,6,-0.75,0.5304914683793133,0.0003738709371342945
211,8,-0.8400000000000001,0.5288999939741753,0.002080734870105516
212,4,-0.81,0.5273132939922528,0.0030959933064877987
213,14,-1.41,0.525731354110276,0.013963759263528377
214,16,-0.9,0.5241541600479452,0.005673167364875553
215,2,-0.72,0.5225816975678014,0.07189498384832405
216,4,-0.66,0.521013952475098,0.0035160256375093013
217,6,-0.75,0.5194509106176727,0.0009292271521796162
218,8,-0.8400000000000001,0.5178925578858197,0.001513882576546166
219,6,-0.75,0.5163388802121622,0.0016267195460386574
220,21,-1.2000000000000002,0.5147898635715258,0.00095323798242524
221,7,-0.72,0.5132454939808112,0.004081572281263236
222,21,-1.9800000000000004,0.5117057574988688,0.005179556083887638
223,13,-0.8400000000000001,0.5101706402263723,0.001822255314506877
224,10,-1.08,0.5086401283056932,0.006499909545527771
225,11,5.15,0.5071142079207761,0.010629077301762829
226,3,-0.84,0.5055928652970137,0.0004693061249175419
227,11,-0.75,0.5040760867011227,0.0004178948597241701
228,9,-0.9600000000000001,0.5025638584410194,0.006959438264150069
229,7,-1.02,0.5010561668656963,0.019067623508038065
230,16,4.85,0.49955299836509925,0.005506809566213633
231,4,-0.66,0.49805433937000393,0.0058199072373099625
232,34,-2.3100000000000005,0.4965601763518939,0.00827027194078683
233,2,-0.87,0.49507049582283824,0.001515749521786347
234,1,-0.75,0.49358528433536975,0.0025637452490627766
235,11,-1.05,0.49210452848236363,0.0036115352889861574
236,21,-1.65,0.49062821489691655,0.003056629091068836
237,11,-0.57,0.4891563302522258,0.0010038942723027008
238,1,-0.75,0.48768886126146915,0.00929345190525055
239,26,-2.5500000000000007,0.48622579467768473,0.0031306492556513357
240,4,-0.96,0.4847671172936517,0.0012774830429407302
241,6,-0.75,0.4833128159417707,0.023037869328012068
242,4,-0.96,0.4818628774939454,0.015150240156799555
243,15,-1.38,0.48041728886146357,0.007711139523113767
244,8,-1.29,0.4789760369948792,0.0036129244981566444
245,15,-1.38,0.47753910888389456,0.00461858733324334
246,1,-0.75,0.4761064915572429,0.006440512835979462
247,8,-0.8400000000000001,0.4746781720825711,0.0012703196043730713
248,3,-0.84,0.4732541375663234,0.0014543352493395407
249,5,-0.93,0.4718343751536244,0.008629599784035236
250,15,-1.38,0.47041887202816357,0.003294899497025957
251,4,-0.66,0.4690076154120791,0.01999763702042401
252,10,-1.08,0.46760059256584285,0.024164735851809383
253,4,-0.66,0.4661977907881453,0.009200697182677686
254,3,-0.69,0.4647991974157809,0.011271011860420307
255,2,-0.72,0.46340479982353355,0.0035901640076190233
256,9,-0.9600000000000001,0.46201458542406293,0.008812453339083327
257,2,-0.72,0.4606285416677907,0.008500958909280598
258,11,5.15,0.45924665604278736,0.006968148216732185
